"REPORT_PERIOD","S_INFO_WINDCODE","S_FA_BPS"
"20000630","600123.SH",1.92
"20000630","600066.SH",5.8
"20000630","600075.SH",4.51
"20000630","600083.SH",0.017
"20000630","600059.SH",3.67
"20000630","600065.SH",4.9
"20000630","600073.SH",2.6
"20000630","600081.SH",3.08
"20000630","600058.SH",3.913
"20000630","600064.SH",3.06
"20000630","600072.SH",3.365
"20000630","600080.SH",2.55
"20000630","600056.SH",3.314
"20000630","600063.SH",2.54
"20000630","600079.SH",4.042
"20000630","600071.SH",3.27
"20000630","600086.SH",2.243
"20000630","600060.SH",3.31
"20000630","600078.SH",3.55
"20000630","600068.SH",4.73
"20000630","600087.SH",5.44
"20000630","600067.SH",2.28
"20000630","600038.SH",1.795
"20000630","600002.SH",2.49
"20000630","600037.SH",1.9
"20000630","600000.SH",3.45
"20000630","600009.SH",3.11
"20000630","600008.SH",3.64
"20000630","600899.SH",2.53
"20000630","600137.SH",0.06
"20000630","600550.SH",1.549
"20000630","600129.SH",3.73
"20000630","600136.SH",3.11
"20000630","600102.SH",3.17
"20000630","600133.SH",1.577
"20000630","600101.SH",4.16
"20000630","600110.SH",2.92
"20000630","600093.SH",2.83
"20000630","600119.SH",2.304
"20000630","600117.SH",2.36
"20000630","600100.SH",4.08
"20000630","600092.SH",2.54
"20000630","600109.SH",0.84
"20000630","600118.SH",1.49
"20000630","600115.SH",1.39
"20000630","600053.SH",3.94
"20000630","600096.SH",2.83
"20000630","600091.SH",3.58
"20000630","600105.SH",2.59
"20000630","600113.SH",3.16
"20000630","600095.SH",2.8
"20000630","600125.SH",2.56
"20000630","600104.SH",3.215
"20000630","600111.SH",2.47
"20000630","600121.SH",1.51
"20000630","600094.SH",2.03
"20000630","600160.SH",3.03
"20000630","600170.SH",3.69
"20000630","600149.SH",2.91
"20000630","600172.SH",1.9
"20000630","600183.SH",1.797
"20000630","600181.SH",3.66
"20000630","600148.SH",1.52
"20000630","600180.SH",2.32
"20000630","600158.SH",2.997
"20000630","600169.SH",2.04
"20000630","600157.SH",1.56
"20000630","600168.SH",2.714
"20000630","600179.SH",2.59
"20000630","600175.SH",3.88
"20000630","600186.SH",2.27
"20000630","600155.SH",3.19
"20000630","600167.SH",3
"20000630","600185.SH",2.51
"20000630","600153.SH",3.15
"20000630","600166.SH",2.73
"20000630","600173.SH",2.77
"20000630","600132.SH",3.63
"20000630","600145.SH",2.4
"20000630","600138.SH",2.94
"20000630","600130.SH",4.998
"20000630","600211.SH",3.27
"20000630","600620.SH",1.42
"20000630","600187.SH",2.77
"20000630","600627.SH",1.69
"20000630","600615.SH",4.13
"20000630","600618.SH",2.61
"20000630","600626.SH",3.09
"20000630","600209.SH",2.167
"20000630","600617.SH",1.71
"20000630","600625.SH",0.117
"20000630","600210.SH",3.07
"20000630","600635.SH",2.53
"20000630","600611.SH",3.48
"20000630","600603.SH",2.36
"20000630","600196.SH",2.46
"20000630","600601.SH",2.44
"20000630","600189.SH",3.29
"20000630","600188.SH",2.56
"20000630","600203.SH",2.2
"20000630","600610.SH",0.396
"20000630","600613.SH",2.242
"20000630","600202.SH",2.75
"20000630","600606.SH",1.3
"20000630","600604.SH",1.561
"20000630","600200.SH",3.105
"20000630","600163.SH",3.14
"20000630","600197.SH",3.173
"20000630","600612.SH",1.83
"20000630","600655.SH",3.62
"20000630","600648.SH",2.09
"20000630","600639.SH",2.6
"20000630","600233.SH",3.647
"20000630","600217.SH",3.08
"20000630","600256.SH",2.726
"20000630","600231.SH",3.615
"20000630","600216.SH",2.739
"20000630","600229.SH",3.03
"20000630","600240.SH",4.258
"20000630","600213.SH",3.14
"20000630","600252.SH",1.851
"20000630","600225.SH",2.86
"20000630","600239.SH",3.43
"20000630","600248.SH",3.703
"20000630","600221.SH",3.03
"20000630","600643.SH",4.87
"20000630","600238.SH",2.26
"20000630","600642.SH",3.18
"20000630","600219.SH",4.51
"20000630","600246.SH",1.558
"20000630","600236.SH",3.69
"20000630","600624.SH",2.53
"20000630","600206.SH",4.74
"20000630","600633.SH",0.008
"20000630","600638.SH",3.094
"20000630","600621.SH",2.03
"20000630","600630.SH",3.38
"20000630","600205.SH",2.42
"20000630","600616.SH",1.69
"20000630","600636.SH",2.14
"20000630","600677.SH",2.106
"20000630","600685.SH",2.78
"20000630","000583.SZ",10.071
"20000630","600676.SH",1.97
"20000630","600683.SH",0.95
"20000630","600690.SH",4.89
"20000630","000590.SZ",1.78
"20000630","000582.SZ",2.81
"20000630","600682.SH",2.89
"20000630","600686.SH",2.02
"20000630","000589.SZ",3.391
"20000630","000581.SZ",3.21
"20000630","600679.SH",1.93
"20000630","600669.SH",1.36
"20000630","600654.SH",1.82
"20000630","600646.SH",2.13
"20000630","600663.SH",2.24
"20000630","600670.SH",1.008
"20000630","600653.SH",1.65
"20000630","600668.SH",1.67
"20000630","600662.SH",2.987
"20000630","600645.SH",2.558
"20000630","600667.SH",2.45
"20000630","600674.SH",1.81
"20000630","600212.SH",3.678
"20000630","600644.SH",2.88
"20000630","600659.SH",1.86
"20000630","600664.SH",3.53
"20000630","600673.SH",1.2
"20000630","600651.SH",1.18
"20000630","600658.SH",1.011
"20000630","600235.SH",3.05
"20000630","000666.SZ",3.52
"20000630","000679.SZ",2.497
"20000630","000658.SZ",0.981
"20000630","000676.SZ",2.6
"20000630","000636.SZ",5.51
"20000630","000665.SZ",2.23
"20000630","000657.SZ",3.13
"20000630","000621.SZ",2.039
"20000630","000606.SZ",2.66
"20000630","000615.SZ",2.79
"20000630","000594.SZ",1.83
"20000630","000622.SZ",1.48
"20000630","000620.SZ",2.68
"20000630","000601.SZ",4.38
"20000630","000613.SZ",1.05
"20000630","000593.SZ",3.41
"20000630","000599.SZ",3.4
"20000630","000612.SZ",2.034
"20000630","000591.SZ",2.45
"20000630","000629.SZ",4.04
"20000630","000598.SZ",3.52
"20000630","000608.SZ",2.08
"20000630","000619.SZ",2.72
"20000630","000626.SZ",1.13
"20000630","000596.SZ",4.64
"20000630","000618.SZ",1.86
"20000630","000576.SZ",3.95
"20000630","000587.SZ",2.09
"20000630","600678.SH",1.83
"20000630","000607.SZ",1.51
"20000630","000616.SZ",3.33
"20000630","000585.SZ",1.75
"20000630","000715.SZ",2.72
"20000630","000681.SZ",1.403
"20000630","000693.SZ",1.8
"20000630","000713.SZ",2.68
"20000630","000680.SZ",2.404
"20000630","000701.SZ",2.5
"20000630","000692.SZ",3.61
"20000630","000712.SZ",2.37
"20000630","000720.SZ",3.51
"20000630","000702.SZ",4.986
"20000630","000719.SZ",2.258
"20000630","000710.SZ",2.018
"20000630","000686.SZ",3.49
"20000630","000655.SZ",3.04
"20000630","000716.SZ",2.63
"20000630","000685.SZ",2.03
"20000630","000700.SZ",3.325
"20000630","000652.SZ",2.39
"20000630","000673.SZ",1.58
"20000630","000633.SZ",1.28
"20000630","000663.SZ",2.86
"20000630","000651.SZ",3.61
"20000630","000631.SZ",4.11
"20000630","000661.SZ",3.41
"20000630","000672.SZ",1.8
"20000630","000638.SZ",1.108
"20000630","000630.SZ",3.11
"20000630","000659.SZ",3.2
"20000630","000671.SZ",1.741
"20000630","000678.SZ",4.14
"20000630","000637.SZ",3.12
"20000630","000813.SZ",1.91
"20000630","000826.SZ",2.712
"20000630","000795.SZ",2.267
"20000630","000729.SZ",5.17
"20000630","000799.SZ",4.35
"20000630","000811.SZ",2.2
"20000630","000823.SZ",2.497
"20000630","000791.SZ",1.81
"20000630","000728.SZ",3.018
"20000630","000748.SZ",2.72
"20000630","000779.SZ",3.517
"20000630","000765.SZ",1.33
"20000630","000727.SZ",3.3
"20000630","000759.SZ",3.05
"20000630","000739.SZ",2.126
"20000630","000777.SZ",2.36
"20000630","000762.SZ",2.49
"20000630","000757.SZ",3.21
"20000630","000735.SZ",2.52
"20000630","000769.SZ",2.38
"20000630","000753.SZ",2.83
"20000630","000782.SZ",2.61
"20000630","000733.SZ",3.8
"20000630","000768.SZ",3.62
"20000630","000751.SZ",3.59
"20000630","000780.SZ",3.29
"20000630","000732.SZ",3.024
"20000630","000767.SZ",3.6
"20000630","000708.SZ",3.51
"20000630","000699.SZ",2.418
"20000630","000709.SZ",4.08
"20000630","000703.SZ",2.406
"20000630","000695.SZ",2.22
"20000630","000858.SZ",5.938
"20000630","000004.SZ",0.871
"20000630","000880.SZ",2.98
"20000630","000828.SZ",3.09
"20000630","000856.SZ",2.52
"20000630","000868.SZ",3.99
"20000630","000878.SZ",1.94
"20000630","000850.SZ",3.03
"20000630","000866.SZ",2.18
"20000630","000877.SZ",3.633
"20000630","000007.SZ",1.82
"20000630","000838.SZ",0.947
"20000630","000863.SZ",3.54
"20000630","000790.SZ",2.91
"20000630","000835.SZ",2.65
"20000630","000861.SZ",2.41
"20000630","000797.SZ",3.12
"20000630","000810.SZ",2.84
"20000630","000822.SZ",2.79
"20000630","000796.SZ",3.66
"20000630","000809.SZ",2.11
"20000630","000821.SZ",2.62
"20000630","000788.SZ",2.36
"20000630","000723.SZ",3.4
"20000630","000805.SZ",1.067
"20000630","000817.SZ",2.1
"20000630","000785.SZ",3.02
"20000630","000827.SZ",2.638
"20000630","000803.SZ",1.73
"20000630","000816.SZ",3.954
"20000630","000800.SZ",3.133
"20000630","000903.SZ",3.44
"20000630","000062.SZ",4.17
"20000630","000047.SZ",0.87
"20000630","000888.SZ",3.37
"20000630","000901.SZ",3.014
"20000630","000061.SZ",3.736
"20000630","000048.SZ",1.528
"20000630","000018.SZ",1.8
"20000630","000027.SZ",2.02
"20000630","000036.SZ",3.57
"20000630","000059.SZ",2.34
